Arturo Fuente Don Carlos N°3                                            ,25     ,14.40  ,360.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Don Carlos Robusto                                        ,25     ,15.60  ,390.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 50                                                  ,25     ,19.00  ,475.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 55                                                  ,25     ,22.90  ,572.50€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 77                                                  ,20     ,21.00  ,420.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 46                                                  ,25     ,17.00  ,425.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 48                                                  ,25     ,20.20  ,505.00€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Arturo Fuente Añejo 49                                                  ,25     ,22.90  ,572.50€ ,dominican-cigars        ,full-boxes                ,arturo-fuente
Davidoff Millenium Blend Toro                                           ,4      ,21.00  ,84.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Millenium Blend Short Robusto                                  ,4      ,14.00  ,56.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Millenium Blend Robusto A.T.                                   ,3      ,18.00  ,54.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Diadema                                              ,4      ,19.00  ,76.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Robusto                                              ,12     ,15.00  ,180.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Robusto                                              ,4      ,15.00  ,60.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Short Corona                                         ,14     ,9.90   ,138.60€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Short Corona                                         ,5      ,9.90   ,49.50€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Toro                                                 ,12     ,18.00  ,216.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Toro                                                 ,4      ,18.00  ,72.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Nicaragua Diadema                                              ,12     ,19.00  ,228.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Colorado Claro Short Perfecto                                  ,4      ,13.90  ,55.60€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Colorado Claro Short Perfecto                                  ,25     ,13.90  ,347.50€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Puro D'Oro Gordito                                             ,25     ,14.40  ,360.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Puro D'Oro Gordito                                             ,4      ,15.00  ,60.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Puro D'Oro Magnificos                                          ,25     ,17.00  ,425.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Puro D'Oro Magnificos                                          ,4      ,17.00  ,68.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Puro D'Oro Momentos                                            ,5      ,5.40   ,27.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Tubos Assortment                                               ,3      ,14.73  ,44.20€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Pause Time Out Assortment                                      ,5      ,8.80   ,44.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Inspirational Robusto Assortment                               ,3      ,18.33  ,55.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Robustos Tubos                                         ,4      ,15.90  ,63.60€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Robustos Tubos                                         ,12     ,15.90  ,190.80€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Petit Robusto                                          ,4      ,10.50  ,42.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Petit Robusto                                          ,14     ,10.50  ,147.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Grand Toro                                             ,4      ,18.40  ,73.60€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Escurio Grand Toro                                             ,12     ,18.40  ,220.80€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Demi-Tass                                                      ,10     ,1.90   ,19.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Long Panetella                                                 ,10     ,2.80   ,28.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Mini Cigarillos Nicaragua                                      ,5      ,0.75   ,3.75€   ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Mini Cigarillos Nicaragua                                      ,20     ,0.75   ,15.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Mini Cigarillos Gold                                           ,10     ,0.75   ,7.50€   ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Mini Cigarillos Platinum                                       ,10     ,0.72   ,7.20€   ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Mini Cigarillos Silver                                         ,10     ,0.75   ,7.50€   ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Club Cigarillo                                                 ,10     ,0.98   ,9.80€   ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff WSC Aristocrats Churchill                                      ,20     ,19.00  ,380.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff WSC Aristocrats Churchill                                      ,4      ,19.00  ,76.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff WSC Petit Corona                                               ,20     ,10.00  ,200.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff WSC Petit Corona                                               ,5      ,10.00  ,50.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff WSC Statesman Robusto                                          ,20     ,16.30  ,326.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff WSC Toro                                                       ,20     ,19.00  ,380.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Grand Cru N°4                                                  ,25     ,10.90  ,272.50€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Grand Cru N°5                                                  ,25     ,8.60   ,215.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Grand Cru N°4                                                  ,5      ,10.90  ,54.50€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff 2000 A.T.                                                      ,4      ,12.40  ,49.60€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff 2000                                                           ,25     ,11.90  ,297.50€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Primeros Dominican Maduro                                      ,6      ,4.46   ,26.80€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Primeros Nicaragua                                             ,6      ,4.46   ,26.80€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Primeros Nicarague Maduros                                     ,6      ,4.46   ,26.80€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Primeros Dominican                                             ,6      ,4.46   ,26.80€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Classic N°2                                                    ,5      ,16.30  ,81.50€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Exquisitos                                                     ,10     ,2.80   ,28.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Ambassadrice                                                   ,25     ,7.70   ,192.50€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Classic N°2                                                    ,25     ,16.30  ,407.50€ ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Special R                                                      ,4      ,16.00  ,64.00€  ,dominican-cigars        ,full-boxes                ,davidoff
Davidoff Special R                                                      ,25     ,16.00  ,400.00€ ,dominican-cigars        ,full-boxes                ,davidoff
Macanudo 1968 Rothschild                                                ,20     ,7.90   ,158.00€ ,dominican-cigars        ,full-boxes                ,macanudo-1
Macanudo 1968 Titan                                                     ,20     ,9.10   ,182.00€ ,dominican-cigars        ,full-boxes                ,macanudo-1
Macanudo 1968 Gigante                                                   ,20     ,10.00  ,200.00€ ,dominican-cigars        ,full-boxes                ,macanudo-1
Macanudo 1968 Robusto                                                   ,20     ,8.80   ,176.00€ ,dominican-cigars        ,full-boxes                ,macanudo-1
Macanudo Inspirado Gigante                                              ,10     ,9.20   ,92.00€  ,dominican-cigars        ,full-boxes                ,macanudo-1
Macanudo Inspirado Robusto                                              ,10     ,8.50   ,85.00€  ,dominican-cigars        ,full-boxes                ,macanudo-1
Macanudo 1968 Gigante                                                   ,20     ,10.00  ,200.00€ ,dominican-cigars        ,full-boxes                ,macanudo-1
